Month,Air RPM (000s),Rail PM,VMT (billions)
10/1/95,46993036,441202778,206.99
11/1/95,43703386,435470011,195.41
12/1/95,45015358,444598571,194.59
1/1/96,42734234,362022328,183.74
2/1/96,43056589,343413949,176.82
3/1/96,51646570,416042895,204.47
4/1/96,48063492,425092726,205.56
5/1/96,49808809,467573082,219
6/1/96,53774378,476554648,215.87
7/1/96,56576582,525954361,225.44
8/1/96,58714135,551695523,229.39
9/1/96,47857913,412344840,207.91
10/1/96,49873317,425991795,215.97
11/1/96,44696485,389249720,199.94
12/1/96,49361193,437256586,201.75
1/1/97,46692784,337798678,190.13
2/1/97,43761932,337893100,183.95
3/1/97,54755166,416925515,211.95
4/1/97,50182894,408488665,211.29
5/1/97,51979543,444032624,226.08
6/1/97,55462027,481053743,222.25
7/1/97,58771317,540293509,236.71
8/1/97,60496856,552486079,233.5
9/1/97,50076953,425814893,213.55
10/1/97,51846329,445858326,221.22
11/1/97,47743798,441249575,202.42
12/1/97,50414361,454400575,207.32
1/1/98,47290992,371355589,196.87
2/1/98,44641209,326874247,187.17
3/1/98,54453961,426172239,214.22
4/1/98,53044174,447877815,217.92
5/1/98,54302581,462341914,227.9
6/1/98,57335447,482325897,228.73
7/1/98,59441840,537481124,239.94
8/1/98,60813085,526444502,237.14
9/1/98,49560508,430364874,219.46
10/1/98,53463147,444719403,228.52
11/1/98,49561082,427669956,211.18
12/1/98,51024977,459051399,216.3
1/1/99,48861094,384824724,194.44
2/1/99,46158194,350270063,192.33
3/1/99,57761057,436837107,221.74
4/1/99,54968382,435360347,221.98
5/1/99,55469960,450054655,231.81
6/1/99,59918608,496553598,237.02
7/1/99,64397523,543923323,244.2
8/1/99,63752132,528001216,242.57
9/1/99,53733696,393137094,225.3
10/1/99,57407208,425897553,234.66
11/1/99,53866781,421595015,222.83
12/1/99,52331272,442742459,222.46
1/1/00,49745428,366607410,203.58
2/1/00,49876910,366139276,199.64
3/1/00,61378569,453096388,232.63
4/1/00,58981617,473751011,227.81
5/1/00,61165486,481725263,242.11
6/1/00,65524091,517102460,243.01
7/1/00,67883256,564747276,245.08
8/1/00,66924512,558060051,247.77
9/1/00,56441629,446489429,227.33
10/1/00,58834210,462329685,236.55
11/1/00,56283261,442268378,222.8
12/1/00,55380280,461651082,218.44
1/1/01,53129922,379458113,209.26
2/1/01,49992995,366288212,199.91
3/1/01,62323049,448912584,231.49
4/1/01,59801562,455496342,231.37
5/1/01,60246477,462376555,244.25
6/1/01,64987625,528690495,242.58
7/1/01,68573410,564037290,248.79
8/1/01,69003617,562266005,251.69
9/1/01,39106905,446266947,224.57
10/1/01,44271037,452095235,240
11/1/01,45245063,446094295,229.48
12/1/01,48167518,479188434,228.09
1/1/02,46587818,398440459,213.81
2/1/02,45157533,397948828,206.46
3/1/02,57423155,461087451,234.01
4/1/02,53013066,453147413,234.81
5/1/02,55663570,461648459,249.89
6/1/02,60224150,499751748,246.39
7/1/02,62570110,564046073,254.19
8/1/02,62881793,516103068,256.24
9/1/02,48925997,385097846,230.6
10/1/02,52779975,399248774,243.29
11/1/02,48902677,375996408,228.39
12/1/02,55355434,448246102,231.26
1/1/03,50602700,393287373,216.6
2/1/03,46455943,390041481,201.9
3/1/03,56033121,472573962,236.7
4/1/03,51146721,483653074,238.1
5/1/03,53591384,489484678,253.2
6/1/03,59426357,531138943,252
7/1/03,65041408,578767927,261.3
8/1/03,64095456,557897322,259.6
9/1/03,51347366,427807444,236
10/1/03,55810667,463025617,253.4
11/1/03,53249129,448181812,233.3
12/1/03,57795908,489403554,237.6
1/1/04,53447972,410338691,217.3
2/1/04,52608801,389778365,210.4
3/1/04,63600019,453014590,247.5
4/1/04,61887720,471116666,245.4
